# y+ ()       
# Time        	patch         	min           	max           	average       
87000         	topWall	2.985899e-02	2.985899e-02	2.985899e-02
87500         	bottomWall	2.985900e-02	2.985900e-02	2.985900e-02
87500         	topWall	2.985900e-02	2.985900e-02	2.985900e-02
88000         	bottomWall	2.985901e-02	2.985901e-02	2.985901e-02
88000         	topWall	2.985900e-02	2.985900e-02	2.985900e-02
88500         	bottomWall	2.985902e-02	2.985902e-02	2.985902e-02
88500         	topWall	2.985901e-02	2.985901e-02	2.985901e-02
89000         	bottomWall	2.985903e-02	2.985903e-02	2.985903e-02
89000         	topWall	2.985902e-02	2.985902e-02	2.985902e-02
89500         	bottomWall	2.985903e-02	2.985903e-02	2.985903e-02
89500         	topWall	2.985903e-02	2.985903e-02	2.985903e-02
90000         	bottomWall	2.985904e-02	2.985904e-02	2.985904e-02
90000         	topWall	2.985903e-02	2.985903e-02	2.985903e-02
90500         	bottomWall	2.985905e-02	2.985905e-02	2.985905e-02
90500         	topWall	2.985904e-02	2.985904e-02	2.985904e-02
91000         	bottomWall	2.985906e-02	2.985906e-02	2.985906e-02
91000         	topWall	2.985905e-02	2.985905e-02	2.985905e-02
91500         	bottomWall	2.985906e-02	2.985906e-02	2.985906e-02
91500         	topWall	2.985906e-02	2.985906e-02	2.985906e-02
92000         	bottomWall	2.985907e-02	2.985907e-02	2.985907e-02
92000         	topWall	2.985906e-02	2.985906e-02	2.985906e-02
92500         	bottomWall	2.985908e-02	2.985908e-02	2.985908e-02
92500         	topWall	2.985907e-02	2.985907e-02	2.985907e-02
93000         	bottomWall	2.985908e-02	2.985908e-02	2.985908e-02
93000         	topWall	2.985907e-02	2.985907e-02	2.985907e-02
93500         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
93500         	topWall	2.985908e-02	2.985908e-02	2.985908e-02
94000         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
94000         	topWall	2.985908e-02	2.985908e-02	2.985908e-02
94500         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
94500         	topWall	2.985908e-02	2.985908e-02	2.985908e-02
95000         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
95000         	topWall	2.985909e-02	2.985909e-02	2.985909e-02
95500         	bottomWall	2.985910e-02	2.985910e-02	2.985910e-02
95500         	topWall	2.985909e-02	2.985909e-02	2.985909e-02
96000         	bottomWall	2.985910e-02	2.985910e-02	2.985910e-02
96000         	topWall	2.985909e-02	2.985909e-02	2.985909e-02
96500         	bottomWall	2.985910e-02	2.985910e-02	2.985910e-02
96500         	topWall	2.985909e-02	2.985909e-02	2.985909e-02
97000         	bottomWall	2.985910e-02	2.985910e-02	2.985910e-02
97000         	topWall	2.985909e-02	2.985909e-02	2.985909e-02
97500         	bottomWall	2.985910e-02	2.985910e-02	2.985910e-02
97500         	topWall	2.985909e-02	2.985909e-02	2.985909e-02
98000         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
98000         	topWall	2.985909e-02	2.985909e-02	2.985909e-02
98500         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
98500         	topWall	2.985908e-02	2.985908e-02	2.985908e-02
99000         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
99000         	topWall	2.985908e-02	2.985908e-02	2.985908e-02
99500         	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
99500         	topWall	2.985908e-02	2.985908e-02	2.985908e-02
100000        	bottomWall	2.985909e-02	2.985909e-02	2.985909e-02
100000        	topWall	2.985908e-02	2.985908e-02	2.985908e-02
